report_id,date,site,location,report_type,description,activity,predicted_activity,predicted_equipment,predicted_hazards,predicted_barrier_failures,predicted_precursor_tags,predicted_potential_consequences,sif_prediction,sif_probability,predicted_lsr,primary_lsr_predicted,sif_label,primary_lsr,lsr_tags,hazard,barrier_failure,potential_consequence,precursor_tags,severity
REP-D46E38DD,2020-11-09,Platform Charlie,Drilling Floor,Incident,Operator logged System Maintenance for DCS System in the wrong logbook.,System Maintenance,"[""Maintenance""]","[""System Maintenance"", ""System In"", ""Logged System"", ""Dcs System""]",[],[],[],[],0,0.024,"[""Bypassing Safety Controls"", ""Work Authorization""]",Bypassing Safety Controls,0,Bypassing Safety Controls,Bypassing Safety Controls,,,Minor injury,,Low
REP-29D65BAD,2023-12-28,Site Alpha,Boiler Area,Unsafe Act,Driver doing Site Patrol in Pickup Truck P-12 parked slightly outside the designated lines.,Site Patrol,"[""Vehicle Movement""]","[""Truck P-12"", ""Pickup Truck""]",[],[],[],[],0,0.0607,"[""Driving""]",Driving,0,Driving,Driving,,,Minor injury,,Low
REP-B45CDADB,2021-09-29,Terminal Echo,Pipe Rack 2,Unsafe Act,Worker's chin strap on helmet was loose during Structural Inspection on Pipe Rack Level 3.,Structural Inspection,"[""Maintenance""]","[""Pipe Rack""]",[],[],[],[],0,0.1042,"[""Work at Height""]",Work at Height,0,Work at Height,Work at Height,,,Minor injury,,Low
REP-C99EBCF2,2021-11-13,Platform Charlie,Pump Room,Unsafe Condition,Driver doing Site Patrol in Light Vehicle parked slightly outside the designated lines.,Site Patrol,"[""Vehicle Movement""]","[""Light Vehicle""]",[],[],[],[],0,0.0628,"[""Driving""]",Driving,0,Driving,Driving,,,Minor injury,,Low
REP-22B9E31B,2021-11-15,Facility Bravo,Boiler Area,Unsafe Act,"During Maintenance of Valve V-99, the technician started loosening the flange while the line was still pressurized. Isolation valve was closed but Padlock missing. Pressurized hydrocarbon release occurred. No injury occurred but potential was high.",Maintenance,"[""Maintenance""]","[""Valve V-99"", ""Valve Was"", ""Of Valve"", ""Isolation Valve"", ""Flange""]","[""Hydrocarbon Release"", ""Loss of Containment"", ""Pressurized Equipment""]","[""ENERGY_ISOLATION_FAILURE""]","[""pressurized-system"", ""missing-loto""]","[""Major Process Safety Event""]",1,0.834,"[""Energy Isolation""]",Energy Isolation,1,Energy Isolation,Energy Isolation,Pressurized hydrocarbon release,Padlock missing,Severe chemical burns,stored energy|pressurized equipment,Medium
REP-C3CA39C9,2021-01-19,Refinery Delta,Pipe Rack 2,Unsafe Condition,"The tag for Compressor C-10 was faded during Pipefitting. No Electrical shock was present, but tag needs replacement.",Pipefitting,"[""Pipefitting""]","[""Compressor C-10"", ""For Compressor""]",[],[],[],"[""Electrical Injury""]",0,0.1012,"[""Energy Isolation""]",Energy Isolation,0,Energy Isolation,Energy Isolation,,,Minor injury,,Low
REP-80537940,2022-05-10,Platform Charlie,Control Room,Unsafe Act,Worker entered Reactor R-5 for Vessel Welding. Suddenly the alarm sounded. Ventilation failed meant the worker was exposed to Oxygen deficiency.,Vessel Welding,"[""Confined Space Entry"", ""Hot Work""]","[""Reactor R-5"", ""Vessel Welding"", ""Entered Reactor"", ""For Vessel""]","[""Confined Atmosphere""]",[],[],[],1,0.9132,"[""Confined Space"", ""Energy Isolation""]",Confined Space,1,Confined Space,Confined Space,Oxygen deficiency,Ventilation failed,Fatality due to toxic gas,deep excavation|poor ventilation,Medium
REP-35BA47FC,2020-03-23,Facility Bravo,Loading Bay,Unsafe Act,Indicator bulb on Pressure Safety Valve PSV-90 was burnt out during Alarm Testing.,Alarm Testing,"[""Operations""]","[""Valve Psv-90"", ""Safety Valve""]",[],[],[],[],0,0.2636,"[""Bypassing Safety Controls""]",Bypassing Safety Controls,0,Bypassing Safety Controls,Bypassing Safety Controls,,,Minor injury,,Low
REP-ECCAF35C,2021-11-30,Facility Bravo,Control Room,Unsafe Condition,Indicator bulb on Pressure Safety Valve PSV-90 was burnt out during Process Operation.,Process Operation,"[""Operations""]","[""Valve Psv-90"", ""Safety Valve""]",[],[],[],[],0,0.1862,"[""Bypassing Safety Controls""]",Bypassing Safety Controls,0,Bypassing Safety Controls,Bypassing Safety Controls|Confined Space,,,Minor injury,,Low
REP-95D396DE,2022-03-08,Platform Charlie,Loading Bay,Unsafe Condition,"Structural Inspection was ongoing near Pipe Rack Level 3 when grating was removed. Lanyard defective left the hole unprotected, creating a high risk of Open grating.",Structural Inspection,"[""Maintenance""]","[""Pipe Rack"", ""Grating""]","[""Fall from Height""]","[""FALL_PROTECTION_FAILURE""]","[""fall-protection""]","[""Fatal Fall"", ""Fall Injury""]",1,0.7267,"[""Work at Height""]",Work at Height,1,Work at Height,Work at Height,Open grating,Lanyard defective,Multiple fractures,missing fall protection|open hole,Medium
REP-79D2162B,2021-08-15,Facility Bravo,Storage Tank A,Unsafe Act,Operator of Mobile Crane during Rigging forgot his safety glasses but was in an enclosed cab.,Rigging,"[""Mechanical Lifting""]","[""Crane During"", ""Mobile Crane"", ""Rigging""]",[],[],[],[],0,0.2177,"[""Safe Mechanical Lifting""]",Safe Mechanical Lifting,0,Safe Mechanical Lifting,Safe Mechanical Lifting,,,Minor injury,,Low
REP-475B783C,2021-09-12,Station Foxtrot,Loading Bay,Incident,Barricade tape for Torquing near Excavator was blown down by the wind. No operations were ongoing.,Torquing,"[""Torquing""]","[""Excavator""]",[],[],[],[],0,0.1384,"[""Line of Fire""]",Line of Fire,0,Line of Fire,Line of Fire,,,Minor injury,,Low
REP-C40BD832,2023-02-03,Terminal Echo,Boiler Area,Unsafe Act,"During Rigging using Chain Block, the load began to swing wildly. Damaged slings used caused a loss of control, resulting in Swinging load.",Rigging,"[""Mechanical Lifting"", ""Loading/Unloading""]","[""Chain Block"", ""Rigging""]","[""Vehicle Interaction"", ""Suspended Load""]","[""LIFTING_CONTROL_FAILURE""]","[""suspended-load"", ""vehicle-interaction""]","[""Struck-By Injury"", ""Crushing Injury"", ""Vehicle / Pedestrian Injury""]",1,0.9805,"[""Safe Mechanical Lifting""]",Safe Mechanical Lifting,1,Safe Mechanical Lifting,Safe Mechanical Lifting,Swinging load,Damaged slings used,Structural collapse,heavy lifting|suspended load,High
REP-BE2AB322,2021-08-02,Platform Charlie,Loading Bay,Unsafe Condition,Welder doing Torch Cutting with Welding Machine W-1 had untucked coveralls.,Torch Cutting,"[""Hot Work""]","[""Welding Machine"", ""Torch""]",[],[],[],[],0,0.0346,"[""Hot Work""]",Hot Work,0,Hot Work,Hot Work,,,Minor injury,,Low
REP-CFAC1E18,2021-01-31,Facility Bravo,Deck 3,Near Miss,Driver doing Transporting Personnel in Vacuum Truck parked slightly outside the designated lines.,Transporting Personnel,"[""Vehicle Movement""]","[""Truck Parked"", ""Vacuum Truck""]",[],[],[],[],0,0.1341,"[""Driving""]",Driving,0,Driving,Driving,,,Minor injury,,Low
REP-91E49356,2021-02-05,Facility Bravo,Drilling Floor,Unsafe Act,Operator logged System Maintenance for Fire & Gas Panel in the wrong logbook.,System Maintenance,"[""Maintenance""]","[""System Maintenance"", ""Panel In"", ""Logged System"", ""Gas Panel""]",[],[],[],[],0,0.0312,"[""Bypassing Safety Controls"", ""Work Authorization""]",Bypassing Safety Controls,0,Bypassing Safety Controls,Bypassing Safety Controls,,,Minor injury,,Low
REP-AB8B528D,2020-10-07,Facility Bravo,Storage Tank A,Unsafe Act,Welder doing Soldering with Angle Grinder had untucked coveralls.,Soldering,"[""Hot Work""]","[""Angle Grinder""]",[],[],[],[],0,0.0248,"[""Hot Work""]",Hot Work,0,Hot Work,Hot Work,,,Minor injury,,Low
REP-5697B3AE,2023-04-18,Refinery Delta,Deck 3,Near Miss,Operator engaged in Alarm Testing admitted to bypassing safety logic on DCS System. Override left active is a severe breach leading to Process safety event.,Alarm Testing,"[""Operations""]","[""Dcs System""]",[],"[""SAFETY_DEVICE_BYPASS""]","[""bypassed-interlock""]","[""Major Process Safety Event""]",1,0.9308,"[""Bypassing Safety Controls""]",Bypassing Safety Controls,1,Bypassing Safety Controls,Bypassing Safety Controls,Process safety event,Override left active,Multiple fatalities,bypassed interlock|disabled safety device,High
REP-2AE89A79,2023-01-13,Facility Bravo,Pump Room,Incident,JSA for General Maintenance near Process Module 4 was printed on crumpled paper.,General Maintenance,"[""Maintenance""]","[""Process Module""]",[],[],[],[],0,0.0139,"[""Work Authorization""]",Work Authorization,0,Work Authorization,Work Authorization|Safe Mechanical Lifting,,,Minor injury,,Low
REP-9582F28A,2021-12-31,Refinery Delta,Pipe Rack 2,Unsafe Condition,"Worker doing Internal Inspection in Underground Sump complained about poor lighting, though gas levels were normal.",Internal Inspection,"[""Maintenance""]","[""Sump""]",[],[],[],[],0,0.0927,"[""Confined Space""]",Confined Space,0,Confined Space,Confined Space,,,Minor injury,,Low
REP-625BE8CF,2020-09-28,Platform Charlie,Control Room,Unsafe Act,"Rigging was ongoing near Scaffold Tower B when grating was removed. Scaffold tag missing left the hole unprotected, creating a high risk of Unstable platform.",Rigging,"[""Mechanical Lifting"", ""Working at Height""]","[""Scaffold"", ""Rigging"", ""Grating""]",[],"[""FALL_PROTECTION_FAILURE""]","[""fall-protection""]",[],1,0.8666,"[""Work at Height""]",Work at Height,1,Work at Height,Work at Height,Unstable platform,Scaffold tag missing,Fatality from fall,unsecured tools|working aloft,Medium
REP-91F3276D,2021-09-05,Station Foxtrot,Storage Tank A,Unsafe Condition,Tools used for Vessel Welding in Separator V-10 were left outside the entrance untidily.,Vessel Welding,"[""Hot Work""]","[""Vessel Welding"", ""Separator V-10"", ""For Vessel"", ""In Separator""]",[],[],[],[],0,0.0732,"[""Confined Space"", ""Hot Work"", ""Line of Fire""]",Confined Space,0,Confined Space,Confined Space,,,Minor injury,,Low
REP-2B0F225A,2021-03-09,Site Alpha,Boiler Area,Incident,"Worker performing Grinding on High Pressure Hose had their hands slightly close to a rough edge, causing a minor scratch.",Grinding,"[""Hot Work""]","[""Pressure Hose""]",[],[],[],[],0,0.2248,"[""Line of Fire"", ""Hot Work""]",Line of Fire,0,Line of Fire,Line of Fire|Confined Space,,,Minor injury,,Low
REP-3A750352,2021-10-08,Platform Charlie,Loading Bay,Unsafe Act,Worker entered Separator V-10 for Vessel Welding. Suddenly the alarm sounded. Ventilation failed meant the worker was exposed to Engulfment.,Vessel Welding,"[""Confined Space Entry"", ""Hot Work""]","[""Separator V-10"", ""Vessel Welding"", ""Entered Separator"", ""For Vessel""]","[""Confined Atmosphere""]",[],[],[],1,0.9235,"[""Confined Space""]",Confined Space,1,Confined Space,Confined Space,Engulfment,Ventilation failed,Fatality due to toxic gas,hazardous atmosphere|deep excavation,High
REP-A00D4D91,2022-09-08,Refinery Delta,Boiler Area,Unsafe Act,A heavy skid was being moved during Rigging. Overloaded crane led to a near miss involving Dropped suspended load near Chain Block.,Rigging,"[""Mechanical Lifting"", ""Loading/Unloading""]","[""Crane Led"", ""Overloaded Crane"", ""Chain Block"", ""Rigging""]","[""Suspended Load""]","[""LIFTING_CONTROL_FAILURE""]","[""suspended-load""]","[""Struck-By Injury"", ""Crushing Injury""]",1,0.9512,"[""Safe Mechanical Lifting""]",Safe Mechanical Lifting,1,Safe Mechanical Lifting,Safe Mechanical Lifting,Dropped suspended load,Overloaded crane,Multiple serious injuries,suspended load|dynamic loading,Medium
REP-ADDE55B9,2021-11-25,Terminal Echo,Pipe Rack 2,Unsafe Act,Radio in Vacuum Truck was left on high volume after Material Delivery.,Material Delivery,"[""Vehicle Movement""]","[""Truck Was"", ""Vacuum Truck""]",[],[],[],[],0,0.0462,"[""Driving""]",Driving,0,Driving,Driving,,,Minor injury,,Low
REP-C191030D,2020-07-02,Terminal Echo,Boiler Area,Incident,Welder doing Grinding with Angle Grinder had untucked coveralls.,Grinding,"[""Hot Work""]","[""Angle Grinder""]",[],[],[],[],0,0.0235,"[""Hot Work""]",Hot Work,0,Hot Work,Hot Work,,,Minor injury,,Low
REP-2CD6097C,2023-11-15,Site Alpha,Pump Room,Unsafe Act,"While Transporting Personnel with Crew Bus, the driver was observed Seatbelt not worn. This led to a near miss involving Loss of control.",Transporting Personnel,"[""Vehicle Movement""]","[""Crew Bus""]","[""Vehicle Interaction""]","[""TRAFFIC_CONTROL_FAILURE""]","[""vehicle-interaction""]","[""Vehicle / Pedestrian Injury""]",1,0.9352,"[""Driving""]",Driving,1,Driving,Driving,Loss of control,Seatbelt not worn,Crush injuries to pedestrian,poor road conditions|high speed,Medium
REP-0FD58E76,2023-05-23,Site Alpha,Boiler Area,Near Miss,Worker's chin strap on helmet was loose during Scaffolding on Crane C-1.,Scaffolding,"[""Mechanical Lifting"", ""Working at Height""]","[""Crane C-1"", ""On Crane""]",[],[],[],[],0,0.0885,"[""Work at Height""]",Work at Height,0,Work at Height,Work at Height,,,Minor injury,,Low
REP-10F4B33C,2020-06-05,Facility Bravo,Boiler Area,Near Miss,"Scaffolding tubes for Pipe Rack Level 3 were stored untidily, causing a minor trip hazard during Rigging.",Rigging,"[""Mechanical Lifting"", ""Working at Height""]","[""Pipe Rack"", ""Rigging""]",[],[],[],[],0,0.1589,"[""Work at Height"", ""Safe Mechanical Lifting""]",Work at Height,0,Work at Height,Work at Height|Confined Space,,,Minor injury,,Low
REP-074B3333,2021-05-18,Refinery Delta,Drilling Floor,Near Miss,"Noticed Valve V-99 had a minor weep during Repair. LOTO was applied correctly, but cleanup was delayed.",Repair,"[""Maintenance""]","[""Valve V-99"", ""Noticed Valve""]",[],[],[],[],0,0.1252,"[""Energy Isolation"", ""Bypassing Safety Controls""]",Energy Isolation,0,Energy Isolation,Energy Isolation,,,Minor injury,,Low
REP-A45E4106,2022-01-26,Station Foxtrot,Pump Room,Near Miss,"While Site Patrol with Light Vehicle, the driver was observed Fatigued driver. This led to a near miss involving Rollover.",Site Patrol,"[""Vehicle Movement""]","[""Light Vehicle""]","[""Vehicle Interaction""]","[""TRAFFIC_CONTROL_FAILURE""]","[""vehicle-interaction""]","[""Vehicle / Pedestrian Injury""]",1,0.8513,"[""Driving""]",Driving,1,Driving,Driving,Rollover,Fatigued driver,Severe whiplash,distracted driving|heavy vehicle interaction,Medium
REP-18492665,2023-05-18,Terminal Echo,Pipe Rack 2,Incident,"Worker performing Trenching on High Pressure Hose had their hands slightly close to a rough edge, causing a minor scratch.",Trenching,"[""Excavation""]","[""Pressure Hose""]",[],[],[],[],0,0.1599,"[""Line of Fire""]",Line of Fire,0,Line of Fire,Line of Fire,,,Minor injury,,Low
REP-138EBE94,2020-09-11,Terminal Echo,Pipe Rack 2,Unsafe Act,"While preparing for Inspection on Compressor C-10, found that the lock for LOTO was slightly rusted, making it hard to use.",Inspection,"[""Maintenance""]","[""Compressor C-10"", ""On Compressor""]",[],[],[],[],0,0.056,"[""Energy Isolation""]",Energy Isolation,0,Energy Isolation,Energy Isolation,,,Minor injury,,Low
REP-B1E21CD9,2021-07-02,Facility Bravo,Boiler Area,Unsafe Act,Operator of Chain Block during Forklift Operation forgot his safety glasses but was in an enclosed cab.,Forklift Operation,"[""Mechanical Lifting""]","[""Block During"", ""Chain Block"", ""Forklift""]",[],[],[],[],0,0.1697,"[""Safe Mechanical Lifting""]",Safe Mechanical Lifting,0,Safe Mechanical Lifting,Safe Mechanical Lifting,,,Minor injury,,Low
REP-EB5956AC,2022-12-18,Refinery Delta,Loading Bay,Unsafe Act,Operator engaged in Alarm Testing admitted to bypassing safety logic on Fire & Gas Panel. Safety valve isolated is a severe breach leading to Overpressure.,Alarm Testing,"[""Operations""]","[""Valve Isolated"", ""Gas Panel"", ""Safety Valve""]","[""Pressurized Equipment""]","[""SAFETY_DEVICE_BYPASS""]","[""pressurized-system"", ""bypassed-interlock""]","[""Major Process Safety Event""]",1,0.9696,"[""Bypassing Safety Controls""]",Bypassing Safety Controls,1,Bypassing Safety Controls,Bypassing Safety Controls,Overpressure,Safety valve isolated,Catastrophic release,disabled safety device|unauthorized override,Medium
REP-A37C5D77,2022-02-04,Platform Charlie,Pump Room,Unsafe Condition,Paint on Chain Block used for Crane Lifting is peeling off.,Crane Lifting,"[""Mechanical Lifting"", ""Painting""]","[""Block Used"", ""Crane Lifting"", ""Chain Block"", ""For Crane""]",[],[],[],[],0,0.0395,"[""Safe Mechanical Lifting""]",Safe Mechanical Lifting,0,Safe Mechanical Lifting,Safe Mechanical Lifting,,,Minor injury,,Low
REP-0FE1F006,2021-09-22,Refinery Delta,Main Workshop,Near Miss,The entry log for Underground Sump during Vessel Welding was smudged with dirt.,Vessel Welding,"[""Hot Work""]","[""Vessel Welding"", ""During Vessel"", ""Sump""]",[],[],[],[],0,0.0204,"[""Confined Space""]",Confined Space,0,Confined Space,Confined Space,,,Minor injury,,Low
REP-C4B0F703,2020-10-01,Refinery Delta,Pump Room,Near Miss,Driver doing Transporting Personnel in Vacuum Truck parked slightly outside the designated lines.,Transporting Personnel,"[""Vehicle Movement""]","[""Truck Parked"", ""Vacuum Truck""]",[],[],[],[],0,0.1341,"[""Driving""]",Driving,0,Driving,Driving,,,Minor injury,,Low
REP-F3231D60,2020-09-07,Refinery Delta,Loading Bay,Unsafe Condition,"While inspecting Compressor C-10, Electrical shock was narrowly avoided because Isolation valve leaking.",Repair,"[""Maintenance""]","[""Compressor C-10"", ""Valve Leaking"", ""Inspecting Compressor"", ""Isolation Valve""]","[""Electrical Energy""]","[""ENERGY_ISOLATION_FAILURE""]","[""missing-loto""]","[""Electrical Injury""]",1,0.8857,"[""Energy Isolation""]",Energy Isolation,1,Energy Isolation,Energy Isolation,Electrical shock,Isolation valve leaking,Fatal electrocution,pressurized equipment|inadequate isolation,High
REP-C60ACDD6,2021-05-08,Terminal Echo,Deck 3,Unsafe Condition,"During Scaffolding, worker used the correct harness but the inspection log was not filled in for Cherry Picker.",Scaffolding,"[""Working at Height"", ""Maintenance""]","[""Cherry Picker""]",[],[],[],[],0,0.0995,"[""Work at Height""]",Work at Height,0,Work at Height,Work at Height,,,Minor injury,,Low
REP-A195A20E,2022-10-14,Platform Charlie,Storage Tank A,Unsafe Act,Barricade tape for Grinding near Excavator was blown down by the wind. No operations were ongoing.,Grinding,"[""Hot Work""]","[""Excavator""]",[],[],[],[],0,0.1742,"[""Line of Fire""]",Line of Fire,0,Line of Fire,Line of Fire,,,Minor injury,,Low
REP-7064F802,2022-04-29,Site Alpha,Pipe Rack 2,Unsafe Condition,Radio in Light Vehicle was left on high volume after Heavy Haulage.,Heavy Haulage,"[""Vehicle Movement""]","[""Light Vehicle""]",[],[],[],[],0,0.0725,"[""Driving"", ""Confined Space""]",Driving,0,Driving,Driving,,,Minor injury,,Low
REP-52F9758E,2023-05-05,Site Alpha,Storage Tank A,Unsafe Act,Radio in Vacuum Truck was left on high volume after Transporting Personnel.,Transporting Personnel,"[""Vehicle Movement""]","[""Truck Was"", ""Vacuum Truck""]",[],[],[],[],0,0.1085,"[""Driving""]",Driving,0,Driving,Driving,,,Minor injury,,Low
REP-A5A64CA0,2021-08-10,Site Alpha,Pipe Rack 2,Near Miss,Tools used for Internal Inspection in Underground Sump were left outside the entrance untidily.,Internal Inspection,"[""Maintenance""]","[""Sump""]",[],[],[],[],0,0.1181,"[""Confined Space""]",Confined Space,0,Confined Space,Confined Space|Work at Height,,,Minor injury,,Low
REP-708FDAD6,2023-05-27,Terminal Echo,Pipe Rack 2,Unsafe Condition,"While investigating Shutdown Valve SDV-1, it was found that Interlock bridged during Alarm Testing. This exposed the facility to Loss of containment.",Alarm Testing,"[""Operations""]","[""Valve Sdv-1"", ""Shutdown Valve""]","[""Loss of Containment""]","[""SAFETY_DEVICE_BYPASS""]","[""bypassed-interlock""]","[""Major Process Safety Event""]",1,0.9742,"[""Bypassing Safety Controls"", ""Energy Isolation""]",Bypassing Safety Controls,1,Bypassing Safety Controls,Bypassing Safety Controls,Loss of containment,Interlock bridged,Multiple fatalities,unauthorized override|disabled safety device,Medium
REP-DE18AF49,2023-07-15,Site Alpha,Drilling Floor,Unsafe Condition,Critical Contractor Work on Utility Area proceeded despite Expired permit. This breakdown in authorization risked Simultaneous operations clash.,Contractor Work,"[""Contractor Work"", ""Maintenance""]","[""Utility Area""]","[""Unidentified Hazards""]","[""WORK_AUTHORIZATION_FAILURE""]","[""expired-permit""]",[],1,0.9142,"[""Work Authorization""]",Work Authorization,1,Work Authorization,Work Authorization|Energy Isolation,Simultaneous operations clash,Expired permit,Serious injury due to lack of hazard awareness,simops|unauthorized work,Medium
REP-0CEFC600,2020-04-23,Terminal Echo,Loading Bay,Near Miss,Indicator bulb on Shutdown Valve SDV-1 was burnt out during System Maintenance.,System Maintenance,"[""Maintenance""]","[""Valve Sdv-1"", ""System Maintenance"", ""Shutdown Valve"", ""During System""]",[],[],[],[],0,0.0795,"[""Bypassing Safety Controls""]",Bypassing Safety Controls,0,Bypassing Safety Controls,Bypassing Safety Controls,,,Minor injury,,Low
REP-D49CE090,2021-06-04,Platform Charlie,Drilling Floor,Unsafe Act,Worker's chin strap on helmet was loose during Scaffolding on Roof Access Ladder.,Scaffolding,"[""Working at Height""]","[""Ladder""]",[],[],[],[],0,0.0959,"[""Work at Height""]",Work at Height,0,Work at Height,Work at Height,,,Minor injury,,Low
REP-82CB765E,2023-06-26,Facility Bravo,Pipe Rack 2,Near Miss,Radio in Forklift was left on high volume after Material Delivery.,Material Delivery,"[""Vehicle Movement""]","[""Forklift""]",[],[],[],[],0,0.0518,"[""Driving"", ""Safe Mechanical Lifting""]",Driving,0,Driving,Driving,,,Minor injury,,Low
REP-DE03EBAB,2022-09-03,Station Foxtrot,Pipe Rack 2,Unsafe Condition,"While preparing for Maintenance on Compressor C-10, found that the lock for LOTO was slightly rusted, making it hard to use.",Maintenance,"[""Maintenance""]","[""Compressor C-10"", ""On Compressor""]",[],[],[],[],0,0.0501,"[""Energy Isolation""]",Energy Isolation,0,Energy Isolation,Energy Isolation,,,Minor injury,,Low
REP-8F16FBDC,2020-04-07,Terminal Echo,Drilling Floor,Unsafe Act,Tools used for Tank Cleaning in Underground Sump were left outside the entrance untidily.,Tank Cleaning,"[""Cleaning"", ""Confined Space Entry""]","[""Tank Cleaning"", ""For Tank"", ""Sump""]",[],[],[],[],0,0.055,"[""Confined Space""]",Confined Space,0,Confined Space,Confined Space,,,Minor injury,,Low
REP-EC36844C,2023-07-05,Refinery Delta,Storage Tank A,Near Miss,Operator of Mobile Crane during Forklift Operation forgot his safety glasses but was in an enclosed cab.,Forklift Operation,"[""Mechanical Lifting""]","[""Crane During"", ""Mobile Crane"", ""Forklift""]",[],[],[],[],0,0.1729,"[""Safe Mechanical Lifting""]",Safe Mechanical Lifting,0,Safe Mechanical Lifting,Safe Mechanical Lifting,,,Minor injury,,Low
REP-8F73329E,2021-08-25,Site Alpha,Pipe Rack 2,Near Miss,JSA for General Maintenance near Utility Area was printed on crumpled paper.,General Maintenance,"[""Maintenance""]","[""Utility Area""]",[],[],[],[],0,0.0136,"[""Work Authorization""]",Work Authorization,0,Work Authorization,Work Authorization,,,Minor injury,,Low
REP-6A1E6C10,2020-04-22,Refinery Delta,Pump Room,Incident,"Worker doing Tank Cleaning in Separator V-10 complained about poor lighting, though gas levels were normal.",Tank Cleaning,"[""Cleaning"", ""Confined Space Entry""]","[""Tank Cleaning"", ""Separator V-10"", ""Doing Tank"", ""In Separator""]",[],[],[],[],0,0.065,"[""Confined Space""]",Confined Space,0,Confined Space,Confined Space,,,Minor injury,,Low
REP-CD5B609B,2023-09-18,Terminal Echo,Drilling Floor,Unsafe Condition,"Roof Repair was ongoing near Roof Access Ladder when grating was removed. Lanyard defective left the hole unprotected, creating a high risk of Fall from height.",Roof Repair,"[""Working at Height"", ""Maintenance""]","[""Ladder"", ""Grating""]","[""Fall from Height""]","[""FALL_PROTECTION_FAILURE""]","[""fall-protection""]","[""Fatal Fall"", ""Fall Injury""]",1,0.6388,"[""Work at Height""]",Work at Height,1,Work at Height,Work at Height,Fall from height,Lanyard defective,Fatality from fall,missing fall protection|unsecured tools,High
REP-55469E56,2023-11-24,Terminal Echo,Storage Tank A,Near Miss,The Light Vehicle was slightly dirty during Material Delivery.,Material Delivery,"[""Vehicle Movement""]","[""Light Vehicle""]",[],[],[],[],0,0.0129,"[""Driving"", ""Confined Space""]",Driving,0,Driving,Driving,,,Minor injury,,Low
REP-BF232095,2022-04-13,Station Foxtrot,Deck 3,Unsafe Condition,"Grinding was being performed. Safety pin removed allowed personnel to walk directly under Drill Pipe, posing a severe Whip from parted cable.",Grinding,"[""Hot Work"", ""Drilling""]","[""Drill Pipe""]","[""Stored Energy""]",[],"[""stored-energy""]",[],1,0.7509,"[""Line of Fire"", ""Hot Work""]",Line of Fire,1,Line of Fire,Line of Fire,Whip from parted cable,Safety pin removed,Amputation,moving machinery|tensioned line,High
REP-D40D3139,2021-01-28,Platform Charlie,Storage Tank A,Unsafe Condition,"During a walkaround, found personnel doing Contractor Work on Process Module 4. JSA not discussed meant they had no controls for Uncontrolled work.",Contractor Work,"[""Contractor Work"", ""Maintenance""]","[""Process Module""]","[""Unidentified Hazards""]","[""WORK_AUTHORIZATION_FAILURE""]","[""expired-permit""]",[],1,0.5009,"[""Work Authorization"", ""Line of Fire""]",Work Authorization,1,Work Authorization,Work Authorization,Uncontrolled work,JSA not discussed,Serious injury due to lack of hazard awareness,simops|inadequate planning,Medium
REP-206CAF2D,2022-03-11,Refinery Delta,Deck 3,Unsafe Act,A heavy skid was being moved during Hoisting. Damaged slings used led to a near miss involving Dropped suspended load near Mobile Crane.,Hoisting,"[""Mechanical Lifting"", ""Loading/Unloading""]","[""Mobile Crane""]","[""Suspended Load""]","[""LIFTING_CONTROL_FAILURE""]","[""suspended-load""]","[""Struck-By Injury"", ""Crushing Injury""]",1,0.9591,"[""Safe Mechanical Lifting""]",Safe Mechanical Lifting,1,Safe Mechanical Lifting,Safe Mechanical Lifting,Dropped suspended load,Damaged slings used,Structural collapse,suspended load|dynamic loading,High
REP-30CD8CB3,2020-04-24,Terminal Echo,Main Workshop,Unsafe Act,"While investigating Pressure Safety Valve PSV-90, it was found that Interlock bridged during Alarm Testing. This exposed the facility to Process safety event.",Alarm Testing,"[""Operations""]","[""Valve Psv-90"", ""Safety Valve""]",[],"[""SAFETY_DEVICE_BYPASS""]","[""bypassed-interlock""]","[""Major Process Safety Event""]",1,0.9626,"[""Bypassing Safety Controls"", ""Energy Isolation""]",Bypassing Safety Controls,1,Bypassing Safety Controls,Bypassing Safety Controls,Process safety event,Interlock bridged,Multiple fatalities,ignored alarm|disabled safety device,High
REP-F9832CE2,2023-08-07,Refinery Delta,Boiler Area,Unsafe Act,"During Structural Inspection, worker used the correct harness but the inspection log was not filled in for Scaffold Tower B.",Structural Inspection,"[""Working at Height"", ""Maintenance""]","[""Scaffold""]",[],[],[],[],0,0.1552,"[""Work at Height""]",Work at Height,0,Work at Height,Work at Height,,,Minor injury,,Low
REP-9F5947FF,2022-07-08,Facility Bravo,Storage Tank A,Incident,The entry log for Underground Sump during Vessel Welding was smudged with dirt.,Vessel Welding,"[""Hot Work""]","[""Vessel Welding"", ""During Vessel"", ""Sump""]",[],[],[],[],0,0.0204,"[""Confined Space""]",Confined Space,0,Confined Space,Confined Space,,,Minor injury,,Low
REP-E8C9E70A,2023-05-17,Site Alpha,Main Workshop,Unsafe Act,Barricade tape for Torquing near Winch W-2 was blown down by the wind. No operations were ongoing.,Torquing,"[""Torquing""]","[""Winch W-2"", ""Near Winch""]",[],[],[],[],0,0.1537,"[""Line of Fire""]",Line of Fire,0,Line of Fire,Line of Fire,,,Minor injury,,Low
