report_id,date,site,location,report_type,description,sif_prediction,sif_probability,primary_lsr,predicted_activity,predicted_equipment,predicted_hazards,predicted_barrier_failures,predicted_potential_consequences,predicted_precursor_tags,predicted_lsr
REP-E0212187,2022-11-21,Facility Bravo,Pipe Rack 2,Near Miss,Indicator bulb on Fire & Gas Panel was burnt out during Process Operation.,0,0.1345,Bypassing Safety Controls,"[{""value"": ""Operations"", ""evidence"": ""Process Operation"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Electrical Panel"", ""evidence"": ""Panel was"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Bypassing Safety Controls"", ""score"": 0.9544714203587106}]"
REP-71A244DC,2023-05-15,Platform Charlie,Control Room,Incident,"During Torquing, a piece of non-tensioned wire from Drill Pipe was left on the floor.",0,0.1024,Line of Fire,"[{""value"": ""Drilling"", ""evidence"": ""Drill"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Torquing"", ""evidence"": ""Torquing"", ""confidence"": ""MEDIUM"", ""match_method"": ""regex""}]","[{""value"": ""Drill Pipe"", ""evidence"": ""Drill Pipe"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Line of Fire"", ""score"": 0.9660334053873476}]"
REP-3AD7730A,2023-01-10,Terminal Echo,Loading Bay,Incident,"During Structural Inspection, worker used the correct harness but the inspection log was not filled in for Pipe Rack Level 3.",0,0.188,Work at Height,"[{""value"": ""Maintenance"", ""evidence"": ""Inspection"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Structure"", ""evidence"": ""Pipe Rack"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Work at Height"", ""score"": 0.9515001291617037}]"
REP-8E4A29D6,2020-08-29,Refinery Delta,Control Room,Incident,Operator of Mobile Crane during Crane Lifting forgot his safety glasses but was in an enclosed cab.,0,0.1672,Safe Mechanical Lifting,"[{""value"": ""Mechanical Lifting"", ""evidence"": ""Lifting"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Crane"", ""evidence"": ""Crane during"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Safe Mechanical Lifting"", ""score"": 0.9654554235547069}]"
REP-EBFE12FA,2021-07-04,Site Alpha,Control Room,Near Miss,Worker entered Underground Sump for Tank Cleaning. Suddenly the alarm sounded. Rescue plan inadequate meant the worker was exposed to Engulfment.,1,0.9023,Confined Space,"[{""value"": ""Confined Space Entry"", ""evidence"": ""entered Underground Sump for Tank"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Cleaning"", ""evidence"": ""Cleaning"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Tank"", ""evidence"": ""Tank Cleaning"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Vessel"", ""evidence"": ""Sump"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Confined Atmosphere"", ""evidence"": ""Engulfment"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],"[{""rule"": ""Confined Space"", ""score"": 0.9672425767740847}]"
REP-89E00FAB,2022-02-26,Site Alpha,Loading Bay,Unsafe Condition,The entry log for Separator V-10 during Vessel Welding was smudged with dirt.,0,0.0198,Confined Space,"[{""value"": ""Hot Work"", ""evidence"": ""Welding"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Separator V-10"", ""evidence"": ""Separator V-10"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Vessel"", ""evidence"": ""Vessel Welding"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""For Separator"", ""evidence"": ""for Separator"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Confined Space"", ""score"": 0.9667598403251348}]"
REP-FAFAB7A4,2021-05-12,Platform Charlie,Storage Tank A,Unsafe Act,"While inspecting Pump P-204, H2S exposure was narrowly avoided because Bleed valve closed.",1,0.7883,Energy Isolation,"[{""value"": ""Maintenance"", ""evidence"": ""inspecting"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Pump"", ""evidence"": ""Pump P-204"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Valve"", ""evidence"": ""valve closed"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""H2S Exposure"", ""evidence"": ""H2S"", ""confidence"": ""MEDIUM"", ""match_method"": ""regex""}]","[{""value"": ""ENERGY_ISOLATION_FAILURE"", ""evidence"": ""Bleed valve closed"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Toxic Exposure"", ""evidence"": ""H2S"", ""confidence"": ""MEDIUM"", ""match_method"": ""synonym""}, {""value"": ""Loss of Consciousness"", ""evidence"": ""H2S"", ""confidence"": ""MEDIUM"", ""match_method"": ""synonym""}, {""value"": ""Fatal Exposure"", ""evidence"": ""H2S"", ""confidence"": ""MEDIUM"", ""match_method"": ""synonym""}]","[""missing-loto""]","[{""rule"": ""Energy Isolation"", ""score"": 0.9101698179465549}]"
REP-D98AB3A5,2023-12-17,Platform Charlie,Pipe Rack 2,Incident,Welder doing Grinding with Angle Grinder had untucked coveralls.,0,0.0235,Hot Work,"[{""value"": ""Hot Work"", ""evidence"": ""Welder"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Grinder"", ""evidence"": ""Angle Grinder"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Hot Work"", ""score"": 0.9580010469084096}]"
REP-CC632C22,2023-07-08,Platform Charlie,Pipe Rack 2,Unsafe Condition,Fire extinguisher near Pipe Spool P-10 for Grinding was due for monthly inspection next week.,0,0.0956,Hot Work,"[{""value"": ""Maintenance"", ""evidence"": ""inspection"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Hot Work"", ""evidence"": ""Grinding"", ""confidence"": ""MEDIUM"", ""match_method"": ""regex""}]","[{""value"": ""Pipeline"", ""evidence"": ""Spool P-10"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Hot Work"", ""score"": 0.9630908208280432}]"
REP-40A377D5,2021-02-09,Terminal Echo,Loading Bay,Unsafe Act,"While investigating Pressure Safety Valve PSV-90, it was found that Interlock bridged during Process Operation. This exposed the facility to Overpressure.",1,0.9303,Bypassing Safety Controls,"[{""value"": ""Operations"", ""evidence"": ""Process Operation"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Valve"", ""evidence"": ""Valve PSV-90"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Pressurized Equipment"", ""evidence"": ""Overpressure"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""SAFETY_DEVICE_BYPASS"", ""evidence"": ""Interlock bridged"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Major Process Safety Event"", ""evidence"": ""Overpressure"", ""confidence"": ""MEDIUM"", ""match_method"": ""synonym""}]","[""pressurized-system"", ""bypassed-interlock""]","[{""rule"": ""Bypassing Safety Controls"", ""score"": 0.7831543023806716}, {""rule"": ""Energy Isolation"", ""score"": 0.5867047868807445}]"
REP-8ACBEEAE,2023-07-07,Station Foxtrot,Control Room,Unsafe Act,"During Grinding, Hydraulic Torque Wrench failed unexpectedly. Because Tension line snapped, the worker was exposed to Struck by moving object. Fortunately, the worker jumped back in time.",1,0.9804,Line of Fire,"[{""value"": ""Hot Work"", ""evidence"": ""Grinding"", ""confidence"": ""MEDIUM"", ""match_method"": ""regex""}, {""value"": ""Torquing"", ""evidence"": ""Torque"", ""confidence"": ""MEDIUM"", ""match_method"": ""regex""}]","[{""value"": ""Torque Wrench"", ""evidence"": ""Torque Wrench"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Line-of-Fire Exposure"", ""evidence"": ""Struck by moving object"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""LINE_OF_FIRE_CONTROL_FAILURE"", ""evidence"": ""Tension line snapped"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Struck-By Injury"", ""evidence"": ""Struck by"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[""line-of-fire""]","[{""rule"": ""Line of Fire"", ""score"": 0.9411454440289411}]"
REP-38178119,2020-07-26,Platform Charlie,Loading Bay,Unsafe Condition,Driver doing Transporting Personnel in Crew Bus parked slightly outside the designated lines.,0,0.1207,Driving,"[{""value"": ""Vehicle Movement"", ""evidence"": ""Transporting Personnel"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Vehicle"", ""evidence"": ""Crew Bus"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Driving"", ""score"": 0.9817343492405995}]"
REP-FD4AA4C6,2020-10-30,Terminal Echo,Control Room,Unsafe Condition,Operator logged Alarm Testing for Pressure Safety Valve PSV-90 in the wrong logbook.,0,0.2392,Bypassing Safety Controls,"[{""value"": ""Operations"", ""evidence"": ""Alarm Testing"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Valve"", ""evidence"": ""Valve PSV-90"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Bypassing Safety Controls"", ""score"": 0.9672736617741352}]"
REP-2645EA40,2020-01-02,Facility Bravo,Pump Room,Near Miss,The horn on Mobile Crane sounded a bit quiet during Crane Lifting.,0,0.0246,Safe Mechanical Lifting,"[{""value"": ""Mechanical Lifting"", ""evidence"": ""Lifting"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Crane"", ""evidence"": ""Crane sounded"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Safe Mechanical Lifting"", ""score"": 0.9801586955886717}]"
REP-39A456CB,2020-06-14,Station Foxtrot,Storage Tank A,Unsafe Condition,The entry log for Reactor R-5 during Internal Inspection was smudged with dirt.,0,0.0283,Confined Space,"[{""value"": ""Maintenance"", ""evidence"": ""Inspection"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Reactor R-5"", ""evidence"": ""Reactor R-5"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""For Reactor"", ""evidence"": ""for Reactor"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Confined Space"", ""score"": 0.9747016592922796}]"
REP-188E294F,2021-08-22,Facility Bravo,Storage Tank A,Incident,Barricade tape for Lifting near Winch W-2 was blown down by the wind. No operations were ongoing.,0,0.233,Line of Fire,"[{""value"": ""Mechanical Lifting"", ""evidence"": ""Lifting"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Crane"", ""evidence"": ""Winch W-2"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Line of Fire"", ""score"": 0.9398597406894126}]"
REP-62386845,2023-12-17,Facility Bravo,Pipe Rack 2,Unsafe Condition,The entry log for Reactor R-5 during Vessel Welding was smudged with dirt.,0,0.0168,Confined Space,"[{""value"": ""Hot Work"", ""evidence"": ""Welding"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Reactor R-5"", ""evidence"": ""Reactor R-5"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Vessel"", ""evidence"": ""Vessel Welding"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""For Reactor"", ""evidence"": ""for Reactor"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Confined Space"", ""score"": 0.975432404395423}]"
REP-ABD50BB7,2023-11-23,Platform Charlie,Drilling Floor,Incident,Welder doing Torch Cutting with Angle Grinder had untucked coveralls.,0,0.04,Hot Work,"[{""value"": ""Hot Work"", ""evidence"": ""Welder"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Grinder"", ""evidence"": ""Angle Grinder"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Torch"", ""evidence"": ""Torch"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Hot Work"", ""score"": 0.9769352865700259}]"
REP-8419787D,2021-08-27,Refinery Delta,Storage Tank A,Incident,"Audit of Fire & Gas Panel post-Process Operation revealed Alarm disabled. Without this protection, Overpressure could have occurred.",1,0.9745,Bypassing Safety Controls,"[{""value"": ""Operations"", ""evidence"": ""Process Operation"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Electrical Panel"", ""evidence"": ""Panel post-Process"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Pressurized Equipment"", ""evidence"": ""Overpressure"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""SAFETY_DEVICE_BYPASS"", ""evidence"": ""Alarm disabled"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Major Process Safety Event"", ""evidence"": ""Overpressure"", ""confidence"": ""MEDIUM"", ""match_method"": ""synonym""}]","[""pressurized-system"", ""bypassed-interlock""]","[{""rule"": ""Bypassing Safety Controls"", ""score"": 0.9578659020362738}]"
REP-722C6160,2022-01-04,Site Alpha,Drilling Floor,Unsafe Act,"Roof Repair was ongoing near Roof Access Ladder when grating was removed. Scaffold tag missing left the hole unprotected, creating a high risk of Unstable platform.",1,0.4057,Work at Height,"[{""value"": ""Maintenance"", ""evidence"": ""Repair"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Working at Height"", ""evidence"": ""Scaffold"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Scaffold"", ""evidence"": ""Scaffold"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Ladder"", ""evidence"": ""Ladder"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Structure"", ""evidence"": ""grating"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],"[{""value"": ""FALL_PROTECTION_FAILURE"", ""evidence"": ""Scaffold tag missing"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],"[""fall-protection""]","[{""rule"": ""Work at Height"", ""score"": 0.9836749657053078}]"
REP-040FD704,2020-03-16,Site Alpha,Pump Room,Near Miss,"Audit of Fire & Gas Panel post-Process Operation revealed Override left active. Without this protection, Equipment destruction could have occurred.",1,0.9552,Bypassing Safety Controls,"[{""value"": ""Operations"", ""evidence"": ""Process Operation"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Electrical Panel"", ""evidence"": ""Panel post-Process"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],"[{""value"": ""SAFETY_DEVICE_BYPASS"", ""evidence"": ""Override left active"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Major Equipment Damage"", ""evidence"": ""Equipment destruction"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[""bypassed-interlock""]","[{""rule"": ""Bypassing Safety Controls"", ""score"": 0.9356886702006411}]"
REP-ACF245A0,2023-02-26,Station Foxtrot,Deck 3,Unsafe Condition,Operator logged System Maintenance for Shutdown Valve SDV-1 in the wrong logbook.,0,0.0444,Bypassing Safety Controls,"[{""value"": ""Maintenance"", ""evidence"": ""Maintenance"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""System Maintenance"", ""evidence"": ""System Maintenance"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Valve"", ""evidence"": ""Valve SDV-1"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Logged System"", ""evidence"": ""logged System"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Bypassing Safety Controls"", ""score"": 0.9761316417492889}]"
REP-419A6E24,2020-03-28,Facility Bravo,Pump Room,Near Miss,Operator logged System Maintenance for Pressure Safety Valve PSV-90 in the wrong logbook.,0,0.0772,Bypassing Safety Controls,"[{""value"": ""Maintenance"", ""evidence"": ""Maintenance"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""System Maintenance"", ""evidence"": ""System Maintenance"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Valve"", ""evidence"": ""Valve PSV-90"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Logged System"", ""evidence"": ""logged System"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Bypassing Safety Controls"", ""score"": 0.9724331918668553}]"
REP-C879635C,2023-08-30,Terminal Echo,Drilling Floor,Unsafe Condition,JSA for Contractor Work near Process Module 4 was printed on crumpled paper.,0,0.0187,Work Authorization,"[{""value"": ""Contractor Work"", ""evidence"": ""Contractor Work"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Facility"", ""evidence"": ""Process Module"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Work Authorization"", ""score"": 0.839686873153895}]"
REP-97B932F7,2023-06-21,Site Alpha,Main Workshop,Unsafe Condition,"Noticed Compressor C-10 had a minor weep during Repair. LOTO was applied correctly, but cleanup was delayed.",0,0.0569,Energy Isolation,"[{""value"": ""Maintenance"", ""evidence"": ""Repair"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Compressor"", ""evidence"": ""Compressor C-10"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Energy Isolation"", ""score"": 0.7753483742176179}]"
REP-20A9818B,2022-09-06,Site Alpha,Control Room,Unsafe Act,JSA for Contractor Work near Workshop was printed on crumpled paper.,0,0.0174,Work Authorization,"[{""value"": ""Contractor Work"", ""evidence"": ""Contractor Work"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Facility"", ""evidence"": ""Workshop"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Work Authorization"", ""score"": 0.8290270620672929}]"
REP-BE463895,2021-05-31,Facility Bravo,Main Workshop,Near Miss,"During a walkaround, found personnel doing Non-routine Task on Workshop. PTW not issued meant they had no controls for Uncontrolled work.",1,0.6996,Work Authorization,"[{""value"": ""Operations"", ""evidence"": ""Non-routine Task"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Facility"", ""evidence"": ""Workshop"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Unidentified Hazards"", ""evidence"": ""Uncontrolled work"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""WORK_AUTHORIZATION_FAILURE"", ""evidence"": ""PTW not issued"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],"[""expired-permit""]","[{""rule"": ""Work Authorization"", ""score"": 0.9080307840034003}, {""rule"": ""Line of Fire"", ""score"": 0.5397457761100967}]"
REP-E7B00913,2020-07-16,Refinery Delta,Drilling Floor,Near Miss,Paint on Mobile Crane used for Hoisting is peeling off.,0,0.0589,Safe Mechanical Lifting,"[{""value"": ""Mechanical Lifting"", ""evidence"": ""Hoisting"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Painting"", ""evidence"": ""Paint"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Crane"", ""evidence"": ""Crane used"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Safe Mechanical Lifting"", ""score"": 0.963797660580696}, {""rule"": ""Hot Work"", ""score"": 0.43916659075155745}]"
REP-9E1D19CE,2023-03-28,Refinery Delta,Pump Room,Unsafe Condition,The welding lead for Pipe Spool P-10 was slightly tangled during Soldering.,0,0.0783,Hot Work,"[{""value"": ""Hot Work"", ""evidence"": ""welding"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Pipeline"", ""evidence"": ""Spool P-10"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Hot Work"", ""score"": 0.9591996170864732}]"
REP-79118088,2022-05-07,Platform Charlie,Boiler Area,Near Miss,The entry log for Reactor R-5 during Tank Cleaning was smudged with dirt.,0,0.0137,Confined Space,"[{""value"": ""Confined Space Entry"", ""evidence"": ""Tank Cleaning"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Cleaning"", ""evidence"": ""Cleaning"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Reactor R-5"", ""evidence"": ""Reactor R-5"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Tank"", ""evidence"": ""Tank Cleaning"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""For Reactor"", ""evidence"": ""for Reactor"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Confined Space"", ""score"": 0.9790456190125826}]"
REP-A2A937EA,2020-02-26,Refinery Delta,Drilling Floor,Near Miss,"Noticed Pump P-204 had a minor weep during Repair. LOTO was applied correctly, but cleanup was delayed.",0,0.0601,Energy Isolation,"[{""value"": ""Maintenance"", ""evidence"": ""Repair"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Pump"", ""evidence"": ""Pump P-204"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Energy Isolation"", ""score"": 0.7913279604736045}]"
REP-471DC38C,2023-11-14,Platform Charlie,Control Room,Unsafe Act,"Operator was performing Repair on Compressor C-10. It was discovered that Bleed valve closed, leaving the system vulnerable to Steam leak. Work was stopped immediately.",1,0.7396,Energy Isolation,"[{""value"": ""Maintenance"", ""evidence"": ""Repair"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Compressor"", ""evidence"": ""Compressor C-10"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Valve"", ""evidence"": ""valve closed"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""System Vulnerable"", ""evidence"": ""system vulnerable"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""The System"", ""evidence"": ""the system"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Loss of Containment"", ""evidence"": ""Steam leak"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""ENERGY_ISOLATION_FAILURE"", ""evidence"": ""Bleed valve closed"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Major Process Safety Event"", ""evidence"": ""Steam leak"", ""confidence"": ""MEDIUM"", ""match_method"": ""synonym""}]","[""missing-loto""]","[{""rule"": ""Energy Isolation"", ""score"": 0.8473490440273288}, {""rule"": ""Bypassing Safety Controls"", ""score"": 0.4700661920015748}]"
REP-39AF0A15,2020-09-20,Terminal Echo,Boiler Area,Incident,Permit for Contractor Work at Process Module 4 had a minor spelling mistake in the supervisor's name.,0,0.0549,Work Authorization,"[{""value"": ""Contractor Work"", ""evidence"": ""Contractor Work"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Facility"", ""evidence"": ""Process Module"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Work Authorization"", ""score"": 0.9744406415438173}]"
REP-13E4C921,2020-07-04,Refinery Delta,Drilling Floor,Unsafe Act,Driver doing Heavy Haulage in Vacuum Truck parked slightly outside the designated lines.,0,0.1089,Driving,"[{""value"": ""Vehicle Movement"", ""evidence"": ""Heavy Haulage"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Vehicle"", ""evidence"": ""Truck parked"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Driving"", ""score"": 0.9767939698414243}]"
REP-AC7A3E9F,2020-07-23,Platform Charlie,Boiler Area,Unsafe Act,"During Lifting, a piece of non-tensioned wire from Winch W-2 was left on the floor.",0,0.1723,Line of Fire,"[{""value"": ""Mechanical Lifting"", ""evidence"": ""Lifting"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Crane"", ""evidence"": ""Winch W-2"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Line of Fire"", ""score"": 0.9159572247860668}]"
REP-83F3EBA0,2020-09-27,Facility Bravo,Pipe Rack 2,Unsafe Condition,Paint on Forklift F-3 used for Rigging is peeling off.,0,0.0193,Safe Mechanical Lifting,"[{""value"": ""Mechanical Lifting"", ""evidence"": ""Rigging"", ""confidence"": ""MEDIUM"", ""match_method"": ""regex""}, {""value"": ""Painting"", ""evidence"": ""Paint"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Forklift"", ""evidence"": ""Forklift"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Rigging"", ""evidence"": ""Rigging"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Safe Mechanical Lifting"", ""score"": 0.9530187119567163}]"
REP-BBC6B086,2022-09-22,Station Foxtrot,Pipe Rack 2,Near Miss,"During Pressure Testing, a piece of non-tensioned wire from Hydraulic Torque Wrench was left on the floor.",0,0.2973,Line of Fire,"[{""value"": ""Pressure Testing"", ""evidence"": ""Pressure Testing"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Torquing"", ""evidence"": ""Torque"", ""confidence"": ""MEDIUM"", ""match_method"": ""regex""}]","[{""value"": ""Torque Wrench"", ""evidence"": ""Torque Wrench"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Line of Fire"", ""score"": 0.9686053782960002}]"
REP-20926CAA,2020-02-19,Terminal Echo,Drilling Floor,Near Miss,Operator logged Process Operation for Pressure Safety Valve PSV-90 in the wrong logbook.,0,0.1587,Bypassing Safety Controls,"[{""value"": ""Operations"", ""evidence"": ""Process Operation"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Valve"", ""evidence"": ""Valve PSV-90"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Bypassing Safety Controls"", ""score"": 0.966466038718053}]"
