report_id,date,site,location,report_type,activity,description,sif_label,sif_potential,primary_lsr,lsr_tags,hazard,barrier_failure,equipment,potential_consequence,actual_consequence,precursor_tags,severity
REP-468EDC12,2022-10-25,Facility Bravo,Main Workshop,Unsafe Act,Torch Cutting,Fire extinguisher near Oxy-Acetylene Torch for Torch Cutting was due for monthly inspection next week.,0,0.12,Hot Work,Hot Work,None,None,Oxy-Acetylene Torch,Minor injury,None,,Low
REP-F332AECB,2021-04-20,Site Alpha,Loading Bay,Unsafe Condition,System Maintenance,Indicator bulb on DCS System was burnt out during System Maintenance.,0,0.24,Bypassing Safety Controls,Bypassing Safety Controls|Safe Mechanical Lifting,None,None,DCS System,Minor injury,None,,Low
REP-C50B2819,2023-07-20,Refinery Delta,Pipe Rack 2,Unsafe Condition,Structural Inspection,"During Structural Inspection, worker used the correct harness but the inspection log was not filled in for Pipe Rack Level 3.",0,0.09,Work at Height,Work at Height,None,None,Pipe Rack Level 3,Minor injury,None,,Low
REP-A54CCA40,2023-11-14,Facility Bravo,Storage Tank A,Incident,Hoisting,Paint on Overhead Gantry used for Hoisting is peeling off.,0,0.39,Safe Mechanical Lifting,Safe Mechanical Lifting,None,None,Overhead Gantry,Minor injury,None,,Low
REP-EED3A3DB,2023-12-12,Facility Bravo,Drilling Floor,Near Miss,Non-routine Task,Worker doing Non-routine Task at Utility Area did not sign the permit exactly on the line.,0,0.39,Work Authorization,Work Authorization,None,None,Utility Area,Minor injury,None,,Low
REP-721B3EBE,2020-01-15,Station Foxtrot,Main Workshop,Unsafe Act,Rigging,Worker observed performing Rigging on Crane C-1 at 15 meters. It was noted that Missing toe boards. A Dropped object could have resulted in a fatality.,1,0.76,Work at Height,Work at Height,Dropped object,Missing toe boards,Crane C-1,Fatality from fall,Property Damage,unsecured tools|working aloft,Medium
REP-F1BE61D4,2022-04-07,Terminal Echo,Deck 3,Incident,Maintenance,"Operator was performing Maintenance on Heat Exchanger HX-2. It was discovered that Padlock missing, leaving the system vulnerable to Electrical shock. Work was stopped immediately.",1,0.71,Energy Isolation,Energy Isolation,Electrical shock,Padlock missing,Heat Exchanger HX-2,Severe chemical burns,First Aid,inadequate isolation|live electrical,Medium
REP-5CE51CD5,2020-03-07,Platform Charlie,Boiler Area,Unsafe Act,Torquing,"During Torquing, High Pressure Hose failed unexpectedly. Because Barricades ignored, the worker was exposed to Caught between objects. Fortunately, the worker jumped back in time.",1,0.74,Line of Fire,Line of Fire,Caught between objects,Barricades ignored,High Pressure Hose,Fatal impact,Property Damage,moving machinery|pressure test,Medium
REP-D4DD76A4,2020-05-09,Refinery Delta,Loading Bay,Unsafe Condition,Contractor Work,Worker doing Contractor Work at Workshop did not sign the permit exactly on the line.,0,0.19,Work Authorization,Work Authorization|Line of Fire,None,None,Workshop,Minor injury,None,,Low
REP-7BF55887,2020-07-25,Station Foxtrot,Storage Tank A,Near Miss,Vessel Welding,"Worker doing Vessel Welding in Separator V-10 complained about poor lighting, though gas levels were normal.",0,0.35,Confined Space,Confined Space,None,None,Separator V-10,Minor injury,None,,Low
REP-9B7D1C02,2023-01-11,Facility Bravo,Drilling Floor,Near Miss,Structural Inspection,"During Structural Inspection, worker used the correct harness but the inspection log was not filled in for Crane C-1.",0,0.34,Work at Height,Work at Height,None,None,Crane C-1,Minor injury,None,,Low
REP-8809A1F6,2021-06-18,Platform Charlie,Control Room,Unsafe Act,Roof Repair,Worker's chin strap on helmet was loose during Roof Repair on Roof Access Ladder.,0,0.23,Work at Height,Work at Height,None,None,Roof Access Ladder,Minor injury,None,,Low
REP-BD406A6C,2022-10-16,Station Foxtrot,Deck 3,Unsafe Condition,Non-routine Task,"During a walkaround, found personnel doing Non-routine Task on Camp Facility. JSA not discussed meant they had no controls for Unidentified hazards.",1,0.77,Work Authorization,Work Authorization,Unidentified hazards,JSA not discussed,Camp Facility,Serious injury due to lack of hazard awareness,Property Damage,poor communication|unauthorized work,High
REP-3530AC03,2020-04-21,Terminal Echo,Loading Bay,Unsafe Condition,Grinding,The welding lead for Angle Grinder was slightly tangled during Grinding.,0,0.16,Hot Work,Hot Work,None,None,Angle Grinder,Minor injury,None,,Low
REP-44F7E7FF,2022-11-19,Platform Charlie,Boiler Area,Unsafe Condition,Repair,"Operator was performing Repair on Heat Exchanger HX-2. It was discovered that Energy not verified zero, leaving the system vulnerable to Steam leak. Work was stopped immediately.",1,0.9,Energy Isolation,Energy Isolation,Steam leak,Energy not verified zero,Heat Exchanger HX-2,Asphyxiation,Property Damage,toxic fluid|live electrical,High
REP-EE440387,2023-03-18,Terminal Echo,Drilling Floor,Unsafe Act,Process Operation,"Screen on DCS System was dirty, making it hard to read during Process Operation.",0,0.04,Bypassing Safety Controls,Bypassing Safety Controls,None,None,DCS System,Minor injury,None,,Low
REP-A1693E03,2023-09-21,Site Alpha,Deck 3,Near Miss,Grinding,Fire extinguisher near Angle Grinder for Grinding was due for monthly inspection next week.,0,0.3,Hot Work,Hot Work,None,None,Angle Grinder,Minor injury,None,,Low
REP-2A90C1D8,2023-05-31,Site Alpha,Boiler Area,Incident,Forklift Operation,"During Forklift Operation using Mobile Crane, the load began to swing wildly. Overloaded crane caused a loss of control, resulting in Crane tip-over.",1,0.9,Safe Mechanical Lifting,Safe Mechanical Lifting,Crane tip-over,Overloaded crane,Mobile Crane,Multiple serious injuries,None,dynamic loading|suspended load,High
REP-9A317FA8,2020-08-23,Terminal Echo,Deck 3,Unsafe Act,Pressure Testing,"During Pressure Testing, Winch W-2 failed unexpectedly. Because Exclusion zone breached, the worker was exposed to High pressure release. Fortunately, the worker jumped back in time.",1,0.92,Line of Fire,Line of Fire,High pressure release,Exclusion zone breached,Winch W-2,Crush injury,None,pinch point|pressure test,Medium
REP-40A377D5,2021-02-09,Terminal Echo,Loading Bay,Unsafe Act,Process Operation,"While investigating Pressure Safety Valve PSV-90, it was found that Interlock bridged during Process Operation. This exposed the facility to Overpressure.",1,0.91,Bypassing Safety Controls,Bypassing Safety Controls,Overpressure,Interlock bridged,Pressure Safety Valve PSV-90,Major explosion,None,disabled safety device|bypassed interlock,High
REP-FA6E743E,2022-12-02,Site Alpha,Boiler Area,Near Miss,Internal Inspection,Tools used for Internal Inspection in Reactor R-5 were left outside the entrance untidily.,0,0.33,Confined Space,Confined Space|Line of Fire,None,None,Reactor R-5,Minor injury,None,,Low
REP-2C3C27AE,2020-09-20,Site Alpha,Loading Bay,Near Miss,Structural Inspection,Worker observed performing Structural Inspection on Scaffold Tower B at 15 meters. It was noted that Missing toe boards. A Open grating could have resulted in a fatality.,1,0.74,Work at Height,Work at Height,Open grating,Missing toe boards,Scaffold Tower B,Fatality from fall,First Aid,working aloft|missing fall protection,High
REP-3F6F5197,2020-02-04,Site Alpha,Loading Bay,Incident,Soldering,Fire extinguisher near Welding Machine W-1 for Soldering was due for monthly inspection next week.,0,0.24,Hot Work,Hot Work,None,None,Welding Machine W-1,Minor injury,None,,Low
REP-2698B3B3,2020-11-15,Site Alpha,Boiler Area,Incident,Forklift Operation,"During Forklift Operation using Chain Block, the load began to swing wildly. Outriggers not extended caused a loss of control, resulting in Swinging load.",1,0.95,Safe Mechanical Lifting,Safe Mechanical Lifting,Swinging load,Outriggers not extended,Chain Block,Multiple serious injuries,None,blind lift|suspended load,High
REP-402622F0,2020-05-05,Refinery Delta,Deck 3,Incident,Process Operation,Indicator bulb on Fire & Gas Panel was burnt out during Process Operation.,0,0.24,Bypassing Safety Controls,Bypassing Safety Controls,None,None,Fire & Gas Panel,Minor injury,None,,Low
REP-413FAB70,2020-11-20,Station Foxtrot,Pump Room,Unsafe Condition,Pipefitting,"While preparing for Pipefitting on Compressor C-10, found that the lock for LOTO was slightly rusted, making it hard to use.",0,0.11,Energy Isolation,Energy Isolation,None,None,Compressor C-10,Minor injury,None,,Low
REP-6F373ADA,2023-08-03,Refinery Delta,Drilling Floor,Incident,Crane Lifting,Operator of Forklift F-3 during Crane Lifting forgot his safety glasses but was in an enclosed cab.,0,0.37,Safe Mechanical Lifting,Safe Mechanical Lifting,None,None,Forklift F-3,Minor injury,None,,Low
REP-C071E96F,2020-08-05,Facility Bravo,Main Workshop,Incident,Crane Lifting,Paint on Overhead Gantry used for Crane Lifting is peeling off.,0,0.2,Safe Mechanical Lifting,Safe Mechanical Lifting,None,None,Overhead Gantry,Minor injury,None,,Low
REP-89A1F161,2023-02-08,Facility Bravo,Deck 3,Incident,Scaffolding,"During Scaffolding, worker used the correct harness but the inspection log was not filled in for Cherry Picker.",0,0.32,Work at Height,Work at Height,None,None,Cherry Picker,Minor injury,None,,Low
REP-297BC3B6,2022-07-06,Site Alpha,Boiler Area,Unsafe Act,Roof Repair,"During Roof Repair, worker used the correct harness but the inspection log was not filled in for Crane C-1.",0,0.27,Work at Height,Work at Height,None,None,Crane C-1,Minor injury,None,,Low
REP-BD1ACC55,2022-08-04,Station Foxtrot,Loading Bay,Near Miss,Structural Inspection,Worker's chin strap on helmet was loose during Structural Inspection on Scaffold Tower B.,0,0.11,Work at Height,Work at Height,None,None,Scaffold Tower B,Minor injury,None,,Low
REP-F6760C64,2023-03-03,Refinery Delta,Boiler Area,Near Miss,Repair,"During Repair of Electrical Panel EP-5, the technician started loosening the flange while the line was still pressurized. Isolation valve was closed but Bleed valve closed. H2S exposure occurred. No injury occurred but potential was high.",1,0.9,Energy Isolation,Energy Isolation,H2S exposure,Bleed valve closed,Electrical Panel EP-5,Asphyxiation,None,live electrical|inadequate isolation,Medium
REP-B9D36BE9,2021-11-14,Facility Bravo,Loading Bay,Incident,Site Patrol,The Forklift was slightly dirty during Site Patrol.,0,0.23,Driving,Driving,None,None,Forklift,Minor injury,None,,Low
REP-02D1E1BF,2020-04-27,Platform Charlie,Storage Tank A,Incident,Contractor Work,Critical Contractor Work on Camp Facility proceeded despite Expired permit. This breakdown in authorization risked Simultaneous operations clash.,1,0.95,Work Authorization,Work Authorization|Work at Height,Simultaneous operations clash,Expired permit,Camp Facility,Serious injury due to lack of hazard awareness,None,poor communication|unauthorized work,Medium
REP-6C2094EA,2021-05-31,Site Alpha,Pump Room,Near Miss,Hoisting,Paint on Mobile Crane used for Hoisting is peeling off.,0,0.06,Safe Mechanical Lifting,Safe Mechanical Lifting,None,None,Mobile Crane,Minor injury,None,,Low
REP-1C6FCE99,2023-06-04,Terminal Echo,Pipe Rack 2,Unsafe Act,Transporting Personnel,The Light Vehicle was slightly dirty during Transporting Personnel.,0,0.03,Driving,Driving,None,None,Light Vehicle,Minor injury,None,,Low
REP-A0DD6DDC,2022-02-21,Terminal Echo,Pipe Rack 2,Near Miss,Rigging,The horn on Chain Block sounded a bit quiet during Rigging.,0,0.33,Safe Mechanical Lifting,Safe Mechanical Lifting|Driving,None,None,Chain Block,Minor injury,None,,Low
REP-E5685CEC,2021-10-22,Refinery Delta,Boiler Area,Unsafe Condition,Process Operation,"Audit of Pressure Safety Valve PSV-90 post-Process Operation revealed Override left active. Without this protection, Overpressure could have occurred.",1,0.78,Bypassing Safety Controls,Bypassing Safety Controls,Overpressure,Override left active,Pressure Safety Valve PSV-90,Catastrophic release,None,unauthorized override|bypassed interlock,Medium
REP-5C3EBF4E,2022-06-01,Station Foxtrot,Boiler Area,Unsafe Act,Site Patrol,Driver doing Site Patrol in Light Vehicle parked slightly outside the designated lines.,0,0.07,Driving,Driving,None,None,Light Vehicle,Minor injury,None,,Low
REP-09717D9F,2023-01-22,Site Alpha,Loading Bay,Near Miss,Pipefitting,"While inspecting Heat Exchanger HX-2, Electrical shock was narrowly avoided because LOTO not applied.",1,0.93,Energy Isolation,Energy Isolation,Electrical shock,LOTO not applied,Heat Exchanger HX-2,"Fire, serious injury or fatal exposure",None,inadequate isolation|stored energy,High
REP-2B36BF85,2020-05-24,Terminal Echo,Storage Tank A,Near Miss,Heavy Haulage,Radio in Vacuum Truck was left on high volume after Heavy Haulage.,0,0.02,Driving,Driving,None,None,Vacuum Truck,Minor injury,None,,Low
REP-DFA66DCD,2023-01-09,Facility Bravo,Pump Room,Unsafe Act,Pressure Testing,"During Pressure Testing, a piece of non-tensioned wire from Winch W-2 was left on the floor.",0,0.37,Line of Fire,Line of Fire,None,None,Winch W-2,Minor injury,None,,Low
REP-1C6F594E,2021-09-05,Terminal Echo,Storage Tank A,Unsafe Act,Pipefitting,"While preparing for Pipefitting on Valve V-99, found that the lock for LOTO was slightly rusted, making it hard to use.",0,0.23,Energy Isolation,Energy Isolation,None,None,Valve V-99,Minor injury,None,,Low
REP-774C2527,2020-11-04,Refinery Delta,Storage Tank A,Incident,Painting,"During Painting, worker used the correct harness but the inspection log was not filled in for Cherry Picker.",0,0.36,Work at Height,Work at Height,None,None,Cherry Picker,Minor injury,None,,Low
REP-34F35857,2021-12-27,Refinery Delta,Pump Room,Incident,Repair,"The tag for Pump P-204 was faded during Repair. No H2S exposure was present, but tag needs replacement.",0,0.18,Energy Isolation,Energy Isolation,None,None,Pump P-204,Minor injury,None,,Low
REP-C4FEA0FB,2023-09-10,Station Foxtrot,Storage Tank A,Unsafe Condition,Tank Cleaning,"Worker doing Tank Cleaning in Reactor R-5 complained about poor lighting, though gas levels were normal.",0,0.24,Confined Space,Confined Space,None,None,Reactor R-5,Minor injury,None,,Low
REP-0CA30547,2022-11-13,Platform Charlie,Boiler Area,Unsafe Act,Pipefitting,"Noticed Electrical Panel EP-5 had a minor weep during Pipefitting. LOTO was applied correctly, but cleanup was delayed.",0,0.11,Energy Isolation,Energy Isolation,None,None,Electrical Panel EP-5,Minor injury,None,,Low
REP-FBAE58EF,2023-01-16,Terminal Echo,Boiler Area,Unsafe Act,Trenching,Barricade tape for Trenching near Excavator was blown down by the wind. No operations were ongoing.,0,0.17,Line of Fire,Line of Fire,None,None,Excavator,Minor injury,None,,Low
REP-6291BB07,2022-12-15,Refinery Delta,Deck 3,Incident,Internal Inspection,"Worker doing Internal Inspection in Reactor R-5 complained about poor lighting, though gas levels were normal.",0,0.07,Confined Space,Confined Space,None,None,Reactor R-5,Minor injury,None,,Low
REP-73E7F353,2022-04-14,Site Alpha,Loading Bay,Unsafe Condition,Scaffolding,"Scaffolding was ongoing near Pipe Rack Level 3 when grating was removed. Scaffold tag missing left the hole unprotected, creating a high risk of Fall from height.",1,0.92,Work at Height,Work at Height,Fall from height,Scaffold tag missing,Pipe Rack Level 3,Fatality from fall,None,unsecured tools|missing fall protection,Medium
REP-0C8A57E3,2021-11-11,Station Foxtrot,Pump Room,Unsafe Condition,Process Operation,"Screen on Fire & Gas Panel was dirty, making it hard to read during Process Operation.",0,0.05,Bypassing Safety Controls,Bypassing Safety Controls,None,None,Fire & Gas Panel,Minor injury,None,,Low
REP-905AA083,2021-01-30,Station Foxtrot,Main Workshop,Near Miss,Hoisting,Operator of Chain Block during Hoisting forgot his safety glasses but was in an enclosed cab.,0,0.02,Safe Mechanical Lifting,Safe Mechanical Lifting,None,None,Chain Block,Minor injury,None,,Low
REP-4379799E,2023-01-13,Station Foxtrot,Pump Room,Incident,System Maintenance,"Audit of DCS System post-System Maintenance revealed Override left active. Without this protection, Equipment destruction could have occurred.",1,0.87,Bypassing Safety Controls,Bypassing Safety Controls|Line of Fire,Equipment destruction,Override left active,DCS System,Multiple fatalities,Property Damage,ignored alarm|unauthorized override,Medium
REP-E64E8645,2022-03-18,Station Foxtrot,Storage Tank A,Near Miss,Material Delivery,Driver doing Material Delivery in Pickup Truck P-12 parked slightly outside the designated lines.,0,0.25,Driving,Driving,None,None,Pickup Truck P-12,Minor injury,None,,Low
REP-684D8492,2020-07-03,Platform Charlie,Drilling Floor,Near Miss,Material Delivery,Driver doing Material Delivery in Light Vehicle parked slightly outside the designated lines.,0,0.28,Driving,Driving,None,None,Light Vehicle,Minor injury,None,,Low
REP-9A511CCA,2023-11-23,Site Alpha,Drilling Floor,Unsafe Act,Maintenance,"The tag for Pump P-204 was faded during Maintenance. No H2S exposure was present, but tag needs replacement.",0,0.37,Energy Isolation,Energy Isolation|Driving,None,None,Pump P-204,Minor injury,None,,Low
REP-1E6D81AE,2023-12-23,Station Foxtrot,Boiler Area,Unsafe Act,Roof Repair,Worker observed performing Roof Repair on Scaffold Tower B at 15 meters. It was noted that Missing toe boards. A Dropped object could have resulted in a fatality.,1,0.82,Work at Height,Work at Height,Dropped object,Missing toe boards,Scaffold Tower B,Multiple fractures,First Aid,edge proximity|open hole,Medium
REP-C2652B8E,2023-04-03,Platform Charlie,Boiler Area,Unsafe Act,Hoisting,Paint on Overhead Gantry used for Hoisting is peeling off.,0,0.22,Safe Mechanical Lifting,Safe Mechanical Lifting|Energy Isolation,None,None,Overhead Gantry,Minor injury,None,,Low
REP-C93C7252,2021-09-28,Platform Charlie,Storage Tank A,Near Miss,System Maintenance,Operator logged System Maintenance for Fire & Gas Panel in the wrong logbook.,0,0.07,Bypassing Safety Controls,Bypassing Safety Controls,None,None,Fire & Gas Panel,Minor injury,None,,Low
REP-04EC8147,2020-02-29,Refinery Delta,Boiler Area,Unsafe Condition,Contractor Work,Worker doing Contractor Work at Process Module 4 did not sign the permit exactly on the line.,0,0.32,Work Authorization,Work Authorization,None,None,Process Module 4,Minor injury,None,,Low
REP-8850130C,2020-08-10,Refinery Delta,Drilling Floor,Near Miss,Torch Cutting,Fire extinguisher near Pipe Spool P-10 for Torch Cutting was due for monthly inspection next week.,0,0.12,Hot Work,Hot Work,None,None,Pipe Spool P-10,Minor injury,None,,Low
REP-32A46316,2023-09-06,Refinery Delta,Main Workshop,Incident,Maintenance,"Operator was performing Maintenance on Valve V-99. It was discovered that Isolation valve leaking, leaving the system vulnerable to Electrical shock. Work was stopped immediately.",1,0.82,Energy Isolation,Energy Isolation,Electrical shock,Isolation valve leaking,Valve V-99,"Fire, serious injury or fatal exposure",Property Damage,pressurized equipment|inadequate isolation,High
REP-CB1E09D3,2022-11-24,Station Foxtrot,Storage Tank A,Unsafe Act,Welding,"During Welding with Pipe Spool P-10, Combustibles not cleared allowed slag to ignite a small fire. Fire potential was extremely high.",1,0.96,Hot Work,Hot Work,Fire,Combustibles not cleared,Pipe Spool P-10,Major fire,Property Damage,ignition source|hydrocarbon presence,High
REP-CE8F66C3,2020-06-11,Facility Bravo,Drilling Floor,Incident,Transporting Personnel,"Pickup Truck P-12 was involved in a near miss during Transporting Personnel. Investigation showed Brakes defective, drastically increasing the risk of Loss of control.",1,0.99,Driving,Driving,Loss of control,Brakes defective,Pickup Truck P-12,Crush injuries to pedestrian,None,heavy vehicle interaction|poor road conditions,Medium
REP-0162E7D2,2020-12-03,Site Alpha,Loading Bay,Near Miss,Repair,"Noticed Valve V-99 had a minor weep during Repair. LOTO was applied correctly, but cleanup was delayed.",0,0.29,Energy Isolation,Energy Isolation,None,None,Valve V-99,Minor injury,None,,Low
REP-99A7FAC3,2021-06-26,Terminal Echo,Boiler Area,Near Miss,Contractor Work,Critical Contractor Work on Workshop proceeded despite Wrong permit type. This breakdown in authorization risked Simultaneous operations clash.,1,0.8,Work Authorization,Work Authorization,Simultaneous operations clash,Wrong permit type,Workshop,Process incident,First Aid,unauthorized work|poor communication,Medium
REP-6A6A361C,2021-09-17,Station Foxtrot,Drilling Floor,Near Miss,Material Delivery,"While Material Delivery with Light Vehicle, the driver was observed Using mobile phone. This led to a near miss involving Pedestrian impact.",1,0.9,Driving,Driving,Pedestrian impact,Using mobile phone,Light Vehicle,Severe whiplash,First Aid,poor road conditions|high speed,High
REP-BDABFF0B,2023-01-05,Terminal Echo,Control Room,Unsafe Act,Grinding,The welding lead for Angle Grinder was slightly tangled during Grinding.,0,0.12,Hot Work,Hot Work,None,None,Angle Grinder,Minor injury,None,,Low
REP-892FE06D,2020-12-13,Site Alpha,Control Room,Near Miss,Process Operation,"Screen on Pressure Safety Valve PSV-90 was dirty, making it hard to read during Process Operation.",0,0.16,Bypassing Safety Controls,Bypassing Safety Controls,None,None,Pressure Safety Valve PSV-90,Minor injury,None,,Low
REP-C9B3A0DA,2021-04-15,Platform Charlie,Pipe Rack 2,Unsafe Condition,Transporting Personnel,Driver doing Transporting Personnel in Pickup Truck P-12 parked slightly outside the designated lines.,0,0.25,Driving,Driving,None,None,Pickup Truck P-12,Minor injury,None,,Low
REP-CC85D8F8,2022-03-22,Refinery Delta,Control Room,Near Miss,Internal Inspection,The entry log for Separator V-10 during Internal Inspection was smudged with dirt.,0,0.29,Confined Space,Confined Space,None,None,Separator V-10,Minor injury,None,,Low
REP-BFB01D18,2022-12-24,Facility Bravo,Pipe Rack 2,Near Miss,Roof Repair,"Scaffolding tubes for Pipe Rack Level 3 were stored untidily, causing a minor trip hazard during Roof Repair.",0,0.18,Work at Height,Work at Height,None,None,Pipe Rack Level 3,Minor injury,None,,Low
REP-1668C3C0,2020-10-28,Terminal Echo,Control Room,Near Miss,Non-routine Task,Worker doing Non-routine Task at Workshop did not sign the permit exactly on the line.,0,0.24,Work Authorization,Work Authorization,None,None,Workshop,Minor injury,None,,Low
REP-55022108,2022-09-08,Site Alpha,Main Workshop,Incident,Alarm Testing,"Screen on Shutdown Valve SDV-1 was dirty, making it hard to read during Alarm Testing.",0,0.28,Bypassing Safety Controls,Bypassing Safety Controls,None,None,Shutdown Valve SDV-1,Minor injury,None,,Low
REP-83F3EBA0,2020-09-27,Facility Bravo,Pipe Rack 2,Unsafe Condition,Rigging,Paint on Forklift F-3 used for Rigging is peeling off.,0,0.08,Safe Mechanical Lifting,Safe Mechanical Lifting,None,None,Forklift F-3,Minor injury,None,,Low
REP-A64BC005,2020-11-17,Terminal Echo,Loading Bay,Unsafe Condition,Trenching,"Worker performing Trenching on Hydraulic Torque Wrench had their hands slightly close to a rough edge, causing a minor scratch.",0,0.16,Line of Fire,Line of Fire,None,None,Hydraulic Torque Wrench,Minor injury,None,,Low
REP-5908B9E4,2020-01-05,Site Alpha,Deck 3,Incident,Transporting Personnel,The Light Vehicle was slightly dirty during Transporting Personnel.,0,0.1,Driving,Driving,None,None,Light Vehicle,Minor injury,None,,Low
REP-36F74D52,2021-01-22,Platform Charlie,Storage Tank A,Unsafe Act,Process Operation,Indicator bulb on DCS System was burnt out during Process Operation.,0,0.33,Bypassing Safety Controls,Bypassing Safety Controls,None,None,DCS System,Minor injury,None,,Low
REP-2C144EB0,2023-02-01,Station Foxtrot,Boiler Area,Unsafe Condition,Vessel Welding,"Worker doing Vessel Welding in Underground Sump complained about poor lighting, though gas levels were normal.",0,0.17,Confined Space,Confined Space,None,None,Underground Sump,Minor injury,None,,Low
REP-E6D805CD,2020-01-08,Platform Charlie,Main Workshop,Near Miss,Alarm Testing,Operator logged Alarm Testing for Fire & Gas Panel in the wrong logbook.,0,0.37,Bypassing Safety Controls,Bypassing Safety Controls,None,None,Fire & Gas Panel,Minor injury,None,,Low
REP-5793E682,2020-01-27,Station Foxtrot,Storage Tank A,Near Miss,System Maintenance,Operator logged System Maintenance for DCS System in the wrong logbook.,0,0.05,Bypassing Safety Controls,Bypassing Safety Controls|Work Authorization,None,None,DCS System,Minor injury,None,,Low
REP-1F4297BD,2023-04-26,Platform Charlie,Control Room,Unsafe Act,Scaffolding,"During Scaffolding, worker used the correct harness but the inspection log was not filled in for Crane C-1.",0,0.33,Work at Height,Work at Height,None,None,Crane C-1,Minor injury,None,,Low
REP-33CFCAB2,2023-03-08,Terminal Echo,Storage Tank A,Unsafe Condition,Repair,"While preparing for Repair on Heat Exchanger HX-2, found that the lock for LOTO was slightly rusted, making it hard to use.",0,0.22,Energy Isolation,Energy Isolation,None,None,Heat Exchanger HX-2,Minor injury,None,,Low
REP-D8ADC86B,2022-01-29,Terminal Echo,Storage Tank A,Unsafe Condition,General Maintenance,Permit for General Maintenance at Workshop had a minor spelling mistake in the supervisor's name.,0,0.15,Work Authorization,Work Authorization,None,None,Workshop,Minor injury,None,,Low
REP-860FE430,2023-12-07,Platform Charlie,Control Room,Unsafe Condition,Rigging,Worker's chin strap on helmet was loose during Rigging on Roof Access Ladder.,0,0.06,Work at Height,Work at Height,None,None,Roof Access Ladder,Minor injury,None,,Low
REP-8E4A29D6,2020-08-29,Refinery Delta,Control Room,Incident,Crane Lifting,Operator of Mobile Crane during Crane Lifting forgot his safety glasses but was in an enclosed cab.,0,0.13,Safe Mechanical Lifting,Safe Mechanical Lifting,None,None,Mobile Crane,Minor injury,None,,Low
REP-27C3060B,2023-08-13,Terminal Echo,Boiler Area,Near Miss,Painting,"During Painting, worker used the correct harness but the inspection log was not filled in for Roof Access Ladder.",0,0.27,Work at Height,Work at Height,None,None,Roof Access Ladder,Minor injury,None,,Low
REP-6726A0CD,2023-12-19,Platform Charlie,Drilling Floor,Near Miss,Process Operation,"Audit of Shutdown Valve SDV-1 post-Process Operation revealed Alarm disabled. Without this protection, Loss of containment could have occurred.",1,0.87,Bypassing Safety Controls,Bypassing Safety Controls,Loss of containment,Alarm disabled,Shutdown Valve SDV-1,Major explosion,None,unauthorized override|bypassed interlock,High
REP-77739815,2020-09-15,Site Alpha,Boiler Area,Unsafe Condition,Rigging,"Scaffolding tubes for Pipe Rack Level 3 were stored untidily, causing a minor trip hazard during Rigging.",0,0.31,Work at Height,Work at Height,None,None,Pipe Rack Level 3,Minor injury,None,,Low
REP-266A4E8C,2020-04-18,Refinery Delta,Boiler Area,Unsafe Condition,Soldering,The welding lead for Welding Machine W-1 was slightly tangled during Soldering.,0,0.17,Hot Work,Hot Work,None,None,Welding Machine W-1,Minor injury,None,,Low
REP-A7EEE5C7,2022-12-01,Station Foxtrot,Pipe Rack 2,Unsafe Condition,Rigging,The horn on Forklift F-3 sounded a bit quiet during Rigging.,0,0.04,Safe Mechanical Lifting,Safe Mechanical Lifting,None,None,Forklift F-3,Minor injury,None,,Low
REP-F85AEF2D,2023-08-06,Station Foxtrot,Pump Room,Unsafe Act,Rigging,"During Rigging using Forklift F-3, the load began to swing wildly. Damaged slings used caused a loss of control, resulting in Dropped suspended load.",1,0.72,Safe Mechanical Lifting,Safe Mechanical Lifting|Bypassing Safety Controls,Dropped suspended load,Damaged slings used,Forklift F-3,Structural collapse,Property Damage,suspended load|heavy lifting,High
REP-563B64AB,2022-06-21,Site Alpha,Boiler Area,Unsafe Condition,Welding,"A contractor began Welding using Angle Grinder. A safety walk discovered Combustibles not cleared, immediately stopping work due to Toxic fumes risk.",1,0.96,Hot Work,Hot Work|Line of Fire,Toxic fumes,Combustibles not cleared,Angle Grinder,Fatal burns,None,hydrocarbon presence|ignition source,High
REP-55D26B0C,2023-12-27,Platform Charlie,Main Workshop,Unsafe Condition,General Maintenance,Critical General Maintenance on Camp Facility proceeded despite Wrong permit type. This breakdown in authorization risked Uncontrolled work.,1,0.73,Work Authorization,Work Authorization|Driving,Uncontrolled work,Wrong permit type,Camp Facility,Serious injury due to lack of hazard awareness,Property Damage,simops|inadequate planning,High
REP-8C188C79,2021-07-25,Refinery Delta,Deck 3,Incident,Trenching,"Worker performing Trenching on Drill Pipe had their hands slightly close to a rough edge, causing a minor scratch.",0,0.24,Line of Fire,Line of Fire,None,None,Drill Pipe,Minor injury,None,,Low
REP-CF910D25,2020-05-24,Site Alpha,Main Workshop,Near Miss,Rigging,Worker's chin strap on helmet was loose during Rigging on Cherry Picker.,0,0.36,Work at Height,Work at Height,None,None,Cherry Picker,Minor injury,None,,Low
REP-0020C824,2020-11-06,Refinery Delta,Pipe Rack 2,Unsafe Act,Soldering,"During Soldering with Angle Grinder, Combustibles not cleared allowed slag to ignite a small fire. Explosion potential was extremely high.",1,0.83,Hot Work,Hot Work,Explosion,Combustibles not cleared,Angle Grinder,Facility explosion,First Aid,flammable atmosphere|sparks,Medium
